category,screen_name,created_at,text,favorite_count,retweet_count
Sports,Kenny_Mayne,2019-11-27 22:36:16,b'To be silent about a former MLB player posting a threat of political violence is to normalize it. It is not normal.\xe2\x80\xa6 https://t.co/8z1tlOGEHm',20030,3007
Sports,globaltimesnews,2019-11-27 03:27:54,"b'#GodfreyGao, an actor from #Taiwan island, died Wednesday while filming a sports entertainment show in Ningbo, East\xe2\x80\xa6 https://t.co/kFGztDDWA9'",2972,1653
Sports,SkySportsNews,2019-11-27 12:22:06,b'BREAKING: Temporary substitutions for players suspected of being concussed\xc2\xa0are likely to become compulsory at Euro\xe2\x80\xa6 https://t.co/Y3Z86CvPL2',6446,869
Sports,SashaBanksWWE,2019-11-27 14:42:45,"b'Sports entertainer, professional wrestler, stunt coordinator, actress, writer, director, producer, model, dog mom,\xe2\x80\xa6 https://t.co/FHKfyOjAyP'",12168,1323
Sports,Hawk,2019-11-27 21:56:01,b'Greatest sports broadcasting moment of this season and I watch it multiple times a week for inspiration. @mspears96 https://t.co/cwafBTy5uD',5223,976
Sports,MrFrankBaraan,2019-11-27 22:25:58,b'Stupidity of this clown is just staggering.\n\nEspousing hyper-competiveness to the point of using nasty tactics just\xe2\x80\xa6 https://t.co/RWhLfHcfg3',1258,297
Sports,Naveen_Odisha,2019-11-27 13:17:02,b'Hockey and #Odisha have always shared special bond. Delighted to announce that @TheHockeyIndia has chosen #Odisha a\xe2\x80\xa6 https://t.co/dlJvAVXE19',2087,435
Sports,News24,2019-11-27 14:01:30,"b""Kolisi joins Jay-Z's sports management company - report | @Sport24news \n\nhttps://t.co/qJ1b8JRvyV https://t.co/FOSidZPcfl""",1035,257
Sports,HJoyceGender,2019-11-27 22:46:19,"b'For all those saying that female athletes should just refuse to stand for allowing males in women\xe2\x80\x99s sports, and the\xe2\x80\xa6 https://t.co/xEpTerc6Ev'",889,447
Sports,gideonlasco,2019-11-27 22:32:48,b'I disagree with those who say that supporting our athletes means turning a blind eye to the failures that ultimatel\xe2\x80\xa6 https://t.co/EilaXXBCgg',1843,517
Sports,FOXSportsSouth,2019-11-27 04:00:36,b'\xf0\x9f\x9a\xa8 UPSET ALERT \xf0\x9f\x9a\xa8\n\n@SFA_MBB is giving the No. 1 team in the country all it can handle.\n\n\xf0\x9f\x93\xba: FOX SPORTS SOUTH https://t.co/ieNvHJI9UD',701,288
Sports,RodneyMarsh10,2019-11-27 13:02:04,b'&gt; Manchester City are now the highest valued sports franchise in sports history \xc2\xa33.9 billion.....Let that sink in',948,162
Sports,FT,2019-11-27 00:01:13,b'Man City stake sale breaks valuation record for a sports group https://t.co/RUjrHq1fWO',469,165
Sports,SkySportsPL,2019-11-27 16:18:33,"b'David Moyes is in a strong position to return to either Everton or West Ham, Sky Sports News understands.'",1554,169
Sports,Tyson_Fury,2019-11-27 12:44:48,b'@Tom_Gray_Boxing @BBCSPOTY @JoshTaylorBoxer @ClonesCyclone @McGuigans_Gym @ringmagazine @WBABoxing @IBFUSBAboxing\xe2\x80\xa6 https://t.co/13a5OdLHiC',1896,247
Sports,people,2019-11-27 00:01:07,"b""Get to Know NFL Player Ryan Russell's Dancer Boyfriend, Corey O'Brien https://t.co/md6n2wuOB8""",236,18
Sports,charliekirk11,2019-11-28 23:36:50,b'This is just insane\n\nHow is this fair to these girls? \n\nThis is happening in America every day\xe2\x80\x94with complete silenc\xe2\x80\xa6 https://t.co/fKvw5Zh4dI',14285,5426
Sports,BadmintonTalk,2019-11-28 13:59:38,"b'BREAKING NEWS\n\nBadminton Asia Team Championships 2020 will be held in SINGAPORE\n\nBe there!\n\nSingapore Sports Hub, 1\xe2\x80\xa6 https://t.co/6myKtJSdny'",886,290
Sports,abscbnsports,2019-11-28 06:33:29,b'ONE MORE FIGHT \xf0\x9f\xa6\x85\n\nKat Tolentino is returning for her final playing year #UAAPSeason82 \xc2\xbb https://t.co/5CUfpeuADY https://t.co/620jD6OnRa',6696,1712
Sports,NFL,2019-11-28 17:53:52,"b""David Blough's first career NFL completion?\n\nJust a 75-yard TD to Kenny Golladay. \xf0\x9f\x98\xb1 @david_blough10 @kgxix\xe2\x80\xa6 https://t.co/j3czEID1WD""",1728,344
Sports,NFL,2019-11-28 22:52:57,"b""THANKSGIVING TRICKERY!\n\nJohn Brown's first NFL pass goes for SIX to @motorsingletary! #GoBills\n\n\xf0\x9f\x93\xba: #BUFvsDAL on CBS\xe2\x80\xa6 https://t.co/AwHpGnAQVI""",2181,428
